date,open,high,low,close,volume
2024/1/11,3275.309,3311.114,3266.791,3295.672,1087897.35
2024/1/12,3284.358,3310.47,3279.699,3284.167,968535.55
2024/1/15,3270.103,3306.922,3261.269,3280.92,888515.3
2024/1/16,3272.571,3300.876,3260.436,3300.876,1132766.65
2024/1/17,3291.139,3291.139,3229.082,3229.082,1087697.28
2024/1/18,3214.284,3279.254,3171.633,3274.729,1749091.68
2024/1/19,3261.239,3286.942,3251.814,3269.776,1185014.08
2024/1/22,3262.469,3281.421,3193.178,3218.902,1487056.28
2024/1/23,3208.432,3249.531,3188.126,3231.933,1220120
2024/1/24,3245.959,3281.489,3190.467,3277.109,1543719.54
2024/1/25,3274.339,3344.243,3269.794,3342.919,1968336.14
2024/1/26,3326.647,3351.969,3315.127,3333.821,1806640.05
2024/1/29,3335.394,3351.372,3303.96,3303.96,1841647.95
2024/1/30,3283.898,3300.204,3244.972,3245.039,1436493.5
2024/1/31,3231.543,3252.148,3201.926,3215.352,1531434.69
2024/2/1,3202.256,3251.758,3191.897,3217.711,1455167.92
2024/2/2,3219.873,3235.408,3108.352,3179.628,1737580.89
2024/2/5,3164.25,3233.849,3111.518,3200.422,2030429.7
2024/2/6,3185.25,3314.512,3182.822,3311.692,2027130.99
2024/2/7,3314.031,3343.63,3289.67,3343.63,2166479.33
2024/2/8,3351.405,3367.21,3336.978,3364.93,1899775.78
2024/2/19,3393.192,3403.808,3364.142,3403.808,1833198
2024/2/20,3395.192,3415.894,3380.103,3410.854,1407345.81
2024/2/21,3390.362,3500.134,3383.691,3456.871,1888793.62
2024/2/22,3450.352,3486.683,3448.414,3486.675,1410207.84
2024/2/23,3491.337,3507.559,3472.968,3489.742,1448212.73
2024/2/26,3485.543,3492.606,3445.389,3453.359,1512483.31
2024/2/27,3440.052,3494.787,3437.442,3494.787,1395282.46
2024/2/28,3499.826,3521.657,3450.26,3450.26,1898375.48
2024/2/29,3437.898,3516.083,3437.898,3516.083,1559445.32
2024/3/1,3515.059,3544.36,3503.459,3537.804,1627095.7
2024/3/4,3538.366,3548.69,3519.76,3540.869,1632446.13
